Année,Mois,SMIC_horaire_brut
2025,Avril,11.87
2025,Mars,11.87
2025,Février,11.87
2025,Janvier,11.87
2024,Décembre,11.87
2024,Novembre,11.87
2024,Octobre,11.64
2024,Septembre,11.64
2024,Août,11.64
2024,Juillet,11.64
2024,Juin,11.65
2024,Mai,11.65
2024,Avril,11.65
2024,Mars,11.65
2024,Février,11.65
2024,Janvier,11.65
2023,Décembre,11.52
2023,Novembre,11.52
2023,Octobre,11.52
2023,Septembre,11.52
2023,Août,11.52
2023,Juillet,11.52
2023,Juin,11.52
2023,Mai,11.52
2023,Avril,11.27
2023,Mars,11.27
2023,Février,11.27
2023,Janvier,11.27
2022,Décembre,11.07
2022,Novembre,11.07
2022,Octobre,11.07
2022,Septembre,11.06
2022,Août,11.06
2022,Juillet,10.84
2022,Juin,10.84
2022,Mai,10.84
2022,Avril,10.56
2022,Mars,10.56
2022,Février,10.56
2022,Janvier,10.56
2021,Décembre,10.47
2021,Novembre,10.47
2021,Octobre,10.47
2021,Septembre,10.24
2021,Août,10.24
2021,Juillet,10.24
2021,Juin,10.24
2021,Mai,10.24
2021,Avril,10.24
2021,Mars,10.24
2021,Février,10.24
2021,Janvier,10.24
2020,Décembre,10.14
2020,Novembre,10.14
2020,Octobre,10.14
2020,Septembre,10.14
2020,Août,10.14
2020,Juillet,10.14
2020,Juin,10.14
2020,Mai,10.14
2020,Avril,10.14
2020,Mars,10.14
2020,Février,10.14
2020,Janvier,10.14
2019,Décembre,10.02
2019,Novembre,10.02
2019,Octobre,10.02
2019,Septembre,10.02
2019,Août,10.02
2019,Juillet,10.02
2019,Juin,10.02
2019,Mai,10.02
2019,Avril,10.02
2019,Mars,10.02
2019,Février,10.02
2019,Janvier,10.02
2018,Décembre,9.87
2018,Novembre,9.87
2018,Octobre,9.87
2018,Septembre,9.87
2018,Août,9.87
2018,Juillet,9.87
2018,Juin,9.87
2018,Mai,9.87
2018,Avril,9.87
2018,Mars,9.87
2018,Février,9.87
2018,Janvier,9.87
